scripts,score,timeline,timeline_ori
差一点点啊，没能顶上,,90+4,下半场48'19''
球被苏巴西奇控制！！,,90+4,下半场48'25''
克罗地亚的前场进攻，费基尔的回防犯规！！,,90+5,下半场49'2''
莫德里奇快发任意球，直塞找佩里西奇,,90+5,下半场49'16''
博格巴回防卡位，将球护送出了底线！！,,90+5,下半场49'31''
法国队的门球，大脚开出到前场,,90+5,下半场49'38''
比赛已经进入最后的读秒阶段！！,,90+5,下半场49'53''
洛里斯大脚将球开出到前场,,90+6,下半场50'5''
全场比赛结束，法国队4-2战胜了克罗地亚队！！！,,90+6,已结束
这是法国队历史上第二次夺得世界杯，上一次是20年前法国本土世界杯！！！,,已结束,已结束
